,Company,Company Description,Date Victimised,No of views,Comment
19,Conselho Superior da Justiça do Trabalho,"The Electronic Litigation System (PJe) installed in the Labor Court represents a paradigm shift in the Brazilian judicial system that has no analogues in any other country. Besides the fact that we no longer use paper (preserving the environment and making workplaces healthier), we have used information technology in favor of more efficient, economical, fast and affordable services anywhere and anytime
https://www.tst.jus.br/web/pje/trt20-sergipe", 14.09.2023, 23983,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,https://pixeldrain.com/u/Tvo1agZs"
20,FRESH TASTE PRODUCE USA AND ASSOCIATES INC.,"Fresh Taste Produce provides commercial and independent partners with the highest-quality fruits and vegetables from around the world. We are a multifaceted organization within the fresh fruit and vegetable industry, directly involved in farming, packing, importing, processing and distributing fresh produce from more than 35 countries
https://freshtasteproduce.com/", 13.09.2023, 25217,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/FpJPEM"
21,Prodegest Assessors,"PRODEGEST ASSESSORS is a professional services firm established in 1978, with offices in the city of Terrassa and technological means that allow us to provide service coverage to the entire national geography. Our main mission and objective is to help our clients in fulfilling their business obligations, accompanying them with close and reliable advice, involving us in their strategy, growth and profitability, as well as ensuring to defend their interests as if they were our own. We have a highly qualified and specialized team in the tax and taxation, accounting and financial, labor, legal, real estate and insurance contracting fields. In addition, we have collaborating experts in other areas such as Bankruptcy, Immigration, Data Protection, Occupational Risk Prevention, etc. All this allows us to offer comprehensive advice, which covers all the needs of our clients, whether they are a company or individuals
https://www.prodegest.com/", 11.09.2023, 26219,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://pixeldrain.com/u/EGGzu9DR,https://pixeldrain.com/u/bqPXji9P,https://pixeldrain.com/u/Vy6crWTy"
22,VVandA,"We are a company with professionals with a track record of more than 20 years in the market and also has highly experienced personnel in the areas of audits, accounting, tax and legal advice. The experience both from the internal of highly prestigious companies at a national level and public accounting firms, makes a work team capable of meeting the requirements or needs of the different business sectors complementary
https://cftvyv.com/", 11.09.2023, 26066,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://pixeldrain.com/u/GqtpF2co,https://pixeldrain.com/u/t44T5s4F,https://pixeldrain.com/u/zSu7aUvi"
23,Fenn Termite and Pest Control,"Fenn Termite & Pest Control Is A Full Service Pest Control Company Mission: To deliver the best service possible for a fair price. To be dedicated enough to provide the customer with quality and a job well done, conforming to the customers high expectations. To improve the economic well-being and quality of life of all employees. To always be honest and deliver the best product in our industry, while preserving the integrity of the environment. Description: For over 60 years, the trained professionals at Fenn Termite & Pest Control, have built a reputation throughout Southern California with commercial and residential clients for providing cutting edge and dependable pest control solutions. We are a 3rd generation, family run business with strong ties to our community and a commitment to environmentally safe, practical methods. 
https://www.fennpest.com/
 ", 07.09.2023, 28758,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,https://pixeldrain.com/u/ZyuNEtCi,https://pixeldrain.com/u/zcDAVeao,https://pixeldrain.com/u/36W6CpbB,https://pixeldrain.com/u/nTKC3keC,https://pixeldrain.com/u/V5mda2ND,https://pixeldrain.com/u/TEKFL8Zt,https://pixeldrain.com/u/YTYDw4Tu,https://pixeldrain.com/u/8ZSk2HAF"
24,Petkus Brothers,"Petkus Brothers committed to provide you the quality products & installation of your entire home remodeling work in Northern California at an affordable price. Petkus Brothers is an outstanding company in the home improvement industry; we build custom sun rooms & patio covers and kitchen & bathroom renovations; our showroom has full size models on display of all our products and we guarantee the ""Best Price, Best Value Every Day.

https://www.petkusbrothers.com/", 06.09.2023, 29334,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/DR9UdU,https://gofile.io/d/ksf75X,https://gofile.io/d/SIY1qr,https://gofile.io/d/mlRPgI,https://gofile.io/d/ISCcAT,https://gofile.io/d/J5TbhW"
25,PRIDE GLOBAL CONSULTING SL,"Why work with psdconsultores?
Because we will accompany you on your business journey with the firm commitment to give you support in all situations in which you require our help.
We hope that you can dedicate your effort exclusively to the management of your business. We take care of solving your problems.
We assign you a manager who will accompany you at all times.
If you need legal help, we will assign you the specialist you need.
We have been advising companies from all sectors for more than 20 years.
Our work is focused on eliminating the possible tax, labor and legal contingencies that you may encounter.
Our work will be transparent and we guarantee that you will comply with the current regulations at all times.
We give you online solutions to all your needs. If you want to come to our office we will welcome you gladly.
There is no commitment to stay with us.
  https://pdeconsultores.es/", 06.09.2023, 29684,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,https://gofile.io/d/V8KLq0"
26,PT. Cahaya Benteng Mas,"PT Cahaya Benteng Mas was originally an individual business pioneered by Mr. Indra Iswaratioso in 1974. Starting with just marketing galvanized zinc products for AC ducting around Jakarta. Until 1981, a business entity was established under the name PT Cahaya Benteng Mas to further develop the business that has been carried out so far. But the products sold are still limited to galvanized zinc plate products.
Along with the rapid growth of the business run and see the opportunities that are still wide open, then in 1994 CBM began to enter the era of Manufacturing. At the beginning by buying a plot of land in the Cikarang industrial area and bringing in roofing machines and shearing machines in the same year. Thus began the era of manufacturing with its first product in the form of a roof and Wall waves named Cahayadek. At that time, product marketing was still around Jabodetabek.
From then on CBM products began to spread throughout Indonesia. Started in 1995, by opening a branch office in Bandung which then continued to grow until in 2010 CBM built an office, factory and warehouse in Bandung. Continued by building marketing distribution cooperation with partners throughout Indonesia which until now CBM products have been spread to all corners of Indonesia.
More than two decades already PT. Cahaya Benteng Mas (CBM) has been producing and supplying roof covering products with materials supplied by PT. NS BLUESCOPE INDONESIA.
We are ready to provide the best service in accordance with the needs of consumers, including : cut and roll services, bending Services, round and square wave services. The materials we use are the best materials according to ISO standards, so as to create superior products.
https://cahayabentengmas.co.id/", 05.09.2023, 30200,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/0lKBvT"
27,"Shanghai FRP Research Institute Co., Ltd.","Shanghai FRP Research Institute Co., Ltd. (SHFRP) is located at Fengxian District of Shanghai. It covers an area of about 120,000 square meters. As a Shanghai High-Tech Enterprise, SHFRP is a technological and industrial entity which integrates scientific research, development, manufacture, service and trade.
Founded in 1960, SHFRP specializes in research and development of performance, structure and processing technology of FRP/ composites and special inorganic nonmetallic materials. Up to now, SHFRP has undertaken hundreds of national R&D projects that deal with tackling key technological problems and developing new products, and already obtained more that one hundred significant technological achievements in FRP/composites fields. With a group of competent engineers and technicians, SHFRP. leads the development of new technologies and products in the domestic trade of FRP/composites and special inorganic nonmetallic materials. Furthermore, with modern plants, the whole set of production equipment and the most advanced testing facilities, SHFRP has high industrial capacity to provide various FRP/composites products with excellent quality to customers at home and abroad.

Relying on the solid technical strength of SHFRP, three technological service organizations are set up in the institute, including the Testing Station of FRP/Composites Industry of Shanghai Inspection Center of China, the National Laboratory approved by CNAS, the Mechanical Testing cooperated Laboratory with GL, the FRP Technological & Economic Information Network of Shanghai Economic Zone. They can offer testing, appraising and advisory services to FRP/Composites industries at home and abroad.

http://www.shfrp.com/", 03.09.2023, 31383,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/vS3rWq"
28,KLM Laboratories Pvt. Ltd,"At KLM labs, our commitment, quality and precision makes us one of the most successful pharmaceutical companies. We provide quality healthcare products. KLM laboratories set up its foot in the pharmaceutical industry in 2010 with a vision of providing quality healthcare services to the community. We emerged as the top prescribers of Itraconazole in India in 2013, and we soon ventured into the international markets in 2015, making a thunderous proclamation. In 2017, We expanded our firm and launched a Pediatric Dermatology division. Another milestone was achieved in 2019 when KLM established itself in the domestic market in the Ophthalmology and Orthopedic sector. With over a decade of experience, we are India's top pharmaceutical company in dealing with dermatology, eye care, and ortho care. KLM laboratories global presence is enriched by over 1000 professionals, 55000 doctors affiliations, over 800 stockists expanded in ten-plus countries. Our firm is dedicated to serving two pharmaceutical divisions- Derma and Cosmo sectors that have built a niche in the international markets. We formulate high-quality tested and approved topical and oral solutions, immunomodulators, corticosteroid, anti-bacterial and anti-fungal solutions, including baby care products like shampoo formulations and moisturizing lotions. Our laboratory also ventures into ophthalmology by providing clinically tested eye drops and tablets. In addition, we also create oral formulations to treat ailments related to the musculoskeletal system. We are recognized as an enterprise that provides consumers access to the best pharmaceutical solutions while following a proactive approach to delivering better offerings that reflect modern medical. Commitment, quality, and precision make us one of the most successful pharmaceutical companies. Our strong beliefs and hardcore values have helped us establish a 'corporate social responsibility. Under this globally recognized aspect, our firm wishes to help humankind with healthcare products that would serve them the purpose of better prognosis

http://klmlab.com/", 02.09.2023, 31831,"ime, but the company decided to stop communicating,On our servers were downloaded: (04.23),Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/tmWawz"
29,Varna Packaging,"We provide hassle-free flexible packaging solutions for brands that want to grow. Over the past 60 years we have grown into one of Sri Lanka's largest converters, supporting our clients in Making a Mark locally and globally. Excellent processes and extensive R&D ensures that our products are of the highest quality whilst our unparalleled client service allows us to meet customer demands repeatedly. Our manufacturing capabilities include: Printed paper bags Recyclable Packaging Bio-degradable Packaging Compostable Packaging Shrinkable labels Soap and Detergent Packaging Liquid Milk Packaging Polyethylene bags Three Side Sealed Pouches Center Sealed Pouches Pouches with Zipper Gusseted Pouches Printed Laminates PE Films and PE Standup Pouches For future-focused, small and medium, environmentally responsible, and cost-conscious businesses; Varna is the like-minded flexible packaging partner that is an Agile Innovator. Customers can benefit from turnkey customized, sustainable solutions because of Varna's trusted reputation with 60 years as a pioneer in the flexible packaging industry. FSSC 2200 certification that shows our commitment to sustainability and delivering above and beyond to our customers

https://www.varnapackaging.com/", 02.09.2023, 31717,"ime, but the company decided to stop communicating,On our servers were downloaded: (01.23),Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/2Qajh5"
30,SKYROOT,"A new space age is emerging and the extraordinary opportunities in space depend on the transportation systems from Earth to Space. At Skyroot, we are building technologies for responsive, reliable and economic access to space. We envision a future where spaceflight is as regular, reliable and affordable as airflight. National Award Winner!

https://skyroot.in/", 02.09.2023, 31818,"ime, but the company decided to stop communicating,On our servers were downloaded: (11.22),Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,  https://gofile.io/d/bqoWEh"
31,Sydenham Laboratories,"Sydenham Laboratories, Inc. (SLI) is an ISO 9001:2008, HACCP Certified, PIC/s GMP compliant pharmaceutical company that develops and manufactures healthcare products. SLI manufactures oral drug preparations in dosage forms of tablet, capsule, syrup, and powder for suspension. Non-penicillin, penicillin and cephalexin-based products are manufactured in separate buildings with 'clean room hepa-filtered' exclusive air-handling systems to ensure zero-cross contamination. SLI also manufactures food supplements in the above dosage forms. SLI is founded in 1971 by Dr. Eduardo R. dela Cruz, MD, a cardiologist and a former president of Philippine Medical Association. SLI derived its name from one of the great British physicians, Dr. Thomas Sydenham, known as the English Hippocrates, the founder of clinical medicine, and an advocate of effective management of illness that emphasized detailed observation and maintained patient records

http://www.sydenhamlab.com/", 01.09.2023, 32545,"iations with us and disappeared,On our servers were downloaded: (12.22),,Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,,https://gofile.io/d/0s2Sfa"
32,FA Foundry,"FA Foundry is the most reliable gray and nodular iron foundry on the international market. It offers comprehensive solutions that contribute to improving the competitiveness of its clients through the production, machining, coating application, and heat treatment of industrial cast iron parts, as well as engineering services for the design, manufacture, maintenance, and tooling repair. FA Foundry has state-of-the-art technology in high precision machinery and equipment, internationally-certified processes and practices. Reliability in delivery dates and proximity to the United States border make our clients have their castings in the shortest time in the market. The added value of these competitive advantages translates into significant savings for our clients. FA Foundry offers in-house machining services on castings through its sister company, Kanoff Machining. This competitive advantage reduces manufacturing times and eliminates the costs associated with transporting castings to machining centers. Headquarters Monterrey, Nuevo León Specialties We are a foundry specialized in gray and nodular iron casting

https://www.fafoundry.com/en/", 01.09.2023, 32563,"iations with us and disappeared,On our servers were downloaded: (12.22),Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,https://gofile.io/d/NaTBhU"
33,INSTITUTO NACIONAL DE ELECTRIFICACION,"We are a State, autonomous and decentralized entity, which enjoys functional autonomy, its own assets, legal personality and full capacity to acquire rights and contract obligations in matters of its competence.

The INDE was created on May 27, 1959, under Decree number 1,287 of the Congress of the Republic.

It is currently governed by its Organic Law, Decree 64- 94, and by the General Electricity Law, regulations that served as the basis for the separation of functions: Electric Power Generation Company -EGEE-, Electric Power Transmission and Control Company -ETCEE- Electric Power Commercialization Company -ECOE-, Corporate Entity and Electric Power Distribution Company of East and West. The latter were disestablished from the Institution in 1999.

https://www.inde.gob.gt/", 01.09.2023, 32398,"iations with us and disappeared,On our servers were downloaded: (02.23),Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,Other,  https://gofile.io/d/qK5kcz"
34,HFH Capital,"Small Business Financing
HFH Capital can advance your business by purchasing up to $5mm of its future sales, today! We'll pay your business up front, then collect a small percentage of future  sales as they occur until a predetermined amount is collected.
Sometimes referred to as a business  advance or merchant cash advance, an advance is an amount of money paid  to a business to purchase sales that would normally occur in the future.  A percentage of the future sales are collected by scheduling an ACH debit from your business checking account or directly from your credit  card processing transactions.

https://www.hfhcapital.com/", 01.09.2023, 33215,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,https://gofile.io/d/oy3ZYH"
35,Bahamas Medical and Surgical Supplies,"Bahamas Medical & Surgical Supplies Limited (BahamasMedical), incorporated in February 2000, is a supplier of medical and surgical products, equipment and services. We are the official authorized suppliers for all GE Healthcare products and equipment. We operate from our offices on 9 Fifth Terrace, Centerville.

https://bahamasmed.com/", 31.08.2023, 33282,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of patients,Other"
36,The Law Offices of Steven H. Heisler,"Baltimore personal injury lawyer Steve Heisler will aggressively fight for all you deserve. Find out why clients prefer to work with Steve. Free consults. The Law Offices of Steven H. Heisler focus on injury cases, including Worker's Compensation, Social Security Disability, Auto Accidents, Personal Injuries, Product Liability, and more. The law office is located in Baltimore and in the state of Maryland, Steve and the Injury Legal Team represent injury victims in all counties


https://www.theinjurylawyermd.com/", 31.08.2023, 33220,"Invoice,Receipts,Accounting documents,Personal data,Certificates,Employment contracts,A huge amount of confidential information,Confidentiality agreements,Personal files of clients,Other,https://gofile.io/d/rlHrpR,https://gofile.io/d/RLqyDa,https://gofile.io/d/UznIrg"
