0,Ransomware_Group,Company_Name,Company_Description,Date_of_leak,Number_of_Views,Company_URL,Industry_Type,Company_Address,Company_Country,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
11,8BASE,SUD TRADING COMPANY,"STC, WITH MORE THAN 40 YEARS OF EXPERIENCE
We put at your disposal the skills of a motivated and dynamic team, attentive to your needs and performance
STC in 3 words is :
CONCEPTION - REALIZATION - DISTRIBUTION
YOUR SATISFACTION IS AT THE HEART OF OUR CONCERNS
A key player on the import market, our company offers professionals a wide choice of products, in the following areas
FASHION - GIFT - DECORATION - FESTIVE - HUMOROUS
stcpro.fr",03-10-23,11152,http://sudtradingcompany.com,Wholesale,"Villetelle, Occitanie",France,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
12,8BASE,WEBBER RESTAURANT GROUP,"Webber Restaurant Group has owned and operated hospitality businesses in Massachusetts since 2004 and we pride ourselves on our commitment to work/life balance and the large number of employees who have been with us for over 5, 10, and 15 years.  Today, Webber Restaurant Group includes the following businesses: Gibbet Hill Grill (Groton, MA) The Barn at Gibbet Hill (Groton, MA) Gibbet Hill Farm (Groton, MA) Scarlet Oak Tavern (Hingham, MA) The Bancroft (Burlington, MA) The Double Bull (Peabody, MA) Fireside Catering (Burlington, MA) Fireside Catering is the exclusive caterer to the following historic venues: The Estate at Moraine Farm (Beverly, MA) Fruitlands Museum (Harvard, MA) The Crane Estate (Ipswich, MA) The Bradley Estate (Canton,MA) The Stevens Estate (North Andover, MA)
https://www.webberrestaurantgroup.com/",03-10-23,11036,http://www.webberrestaurantgroup.com,Restaurants,"Groton, Ma",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
13,8BASE,Praxis Arndt und Langer,"Our goal is to maintain your health or to achieve the best possible for your recovery. In this service we provide the diverse diagnostic and therapeutic possibilities of our practice and the competence of our employees.
In trusting cooperation with you as a partner, we will find individual solutions.
Our range of services covers the entire field of internal medicine, with the focus on general medical care.
As a diabetes practice, we are a competent partner in Darmstadt,
both in the solution of acute problems and in the
Long-term care of your blood sugar disease.
https://www.praxis-arndt-langer.de/",02-10-23,7343,https://www.praxis-arndt-langer.de/,Dentistry,Darmstadt,Germany,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
14,8BASE,Springer Eubank,"A locally owned & operated company serving the Cape Fear Region.
Our professionally trained staff is always ready to help you with your fuel needs.
Springer Eubank Supplies Fuel to Southeastern North Carolina
Located just off the Cape Fear River near the entrance to the state shipyards in Wilmington, Springer Eubank provides fuel delivery to the southeastern NC region throughout New Hanover and Pender Counties, along with deliveries to the Jacksonville area in North Carolina.
springeroil.com",02-10-23,11755,http://springeroil.com,,"Wilmington, North Carolina",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
15,8BASE,The Envelope Works Ltd,"The Envelope Works Group was established in 1999 and is now one of the UKâ€™s leading envelope manufacturers and printers.
https://envelopeworks.com/",30-09-23,13022,http://www.envelopeworks.com,Printing Services,"Blackburn, Lancashire",United Kingdom,1,1,0,0,0,1,0,0,0,0,1,0,0,,,,1
18,8BASE,Ford Covesa,"With more than 40 years of experience, at COVESA we make Ford's values our own: we set trends in the implementation of new technologies, environmental protection and safety, providing excellent customer service in both the pre-sales and after-sales phases.
http://www.covesaford.com/",18-09-23,21348,http://covesaford.com,Retail,MOLLET DEL VALLÃˆS,EspaÃ±a,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
19,8BASE,UNIVERSAL REALTY GROUP,"Universal Realty Group is a leader in the development and management of commercial and residential real estate. Our property management expertise and customer service ensures that you'll find one of Halifax's best places to live and work within it. Our portfolio consists of over 2,300 apartments and a million and a half square feet of commercial space. We offer metro's best selection of residential locations and lifestyle options plus premier space for lease including office, warehouse and retail. Downtown Halifax, Bedford or Dartmouth, if you're seeking an apartment for rent or a place to locate your business, we have you covered. Plus Universal Realty group specializes in a wide spectrum of management services including: Property Management; Asset Management; Systems and Communications, and Marketing
http://universalproperties.ca/",15-09-23,22952,http://www.universalproperties.ca,Real Estate,"Halifax, NS",Canada,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
20,8BASE,Conselho Superior da JustiÃ§a do Trabalho,"The Electronic Litigation System (PJe) installed in the Labor Court represents a paradigm shift in the Brazilian judicial system that has no analogues in any other country. Besides the fact that we no longer use paper (preserving the environment and making workplaces healthier), we have used information technology in favor of more efficient, economical, fast and affordable services anywhere and anytime
https://www.tst.jus.br/web/pje/trt20-sergipe",14-09-23,23983,http://www.tst.jus.br,Government Administration,"BrasÃ­lia, DF",Brasil,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
21,8BASE,FRESH TASTE PRODUCE USA AND ASSOCIATES INC.,"Fresh Taste Produce provides commercial and independent partners with the highest-quality fruits and vegetables from around the world. We are a multifaceted organization within the fresh fruit and vegetable industry, directly involved in farming, packing, importing, processing and distributing fresh produce from more than 35 countries
https://freshtasteproduce.com/",13-09-23,25217,https://freshtasteproduce.com/,Manufacturing,"Philadelphia, Pennsylvania",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
22,8BASE,Prodegest Assessors,"PRODEGEST ASSESSORS is a professional services firm established in 1978, with offices in the city of Terrassa and technological means that allow us to provide service coverage to the entire national geography. Our main mission and objective is to help our clients in fulfilling their business obligations, accompanying them with close and reliable advice, involving us in their strategy, growth and profitability, as well as ensuring to defend their interests as if they were our own. We have a highly qualified and specialized team in the tax and taxation, accounting and financial, labor, legal, real estate and insurance contracting fields. In addition, we have collaborating experts in other areas such as Bankruptcy, Immigration, Data Protection, Occupational Risk Prevention, etc. All this allows us to offer comprehensive advice, which covers all the needs of our clients, whether they are a company or individuals
https://www.prodegest.com/",11-09-23,26219,prodegest.com,Legal Services,"Terrassa, Barcelona",EspaÃ±a,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
23,8BASE,VVandA,"We are a company with professionals with a track record of more than 20 years in the market and also has highly experienced personnel in the areas of audits, accounting, tax and legal advice. The experience both from the internal of highly prestigious companies at a national level and public accounting firms, makes a work team capable of meeting the requirements or needs of the different business sectors complementary
https://cftvyv.com/",11-09-23,26066,http://vandaglobalcapital.asia/,Venture Capital and Private Equity Principals,Singapore,Singapore,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
24,8BASE,Fenn Termite and Pest Control,"Fenn Termite & Pest Control Is A Full Service Pest Control Company Mission: To deliver the best service possible for a fair price. To be dedicated enough to provide the customer with quality and a job well done, conforming to the customers high expectations. To improve the economic well-being and quality of life of all employees. To always be honest and deliver the best product in our industry, while preserving the integrity of the environment. Description: For over 60 years, the trained professionals at Fenn Termite & Pest Control, have built a reputation throughout Southern California with commercial and residential clients for providing cutting edge and dependable pest control solutions. We are a 3rd generation, family run business with strong ties to our community and a commitment to environmentally safe, practical methods. 
https://www.fennpest.com/
 ",07-09-23,28758,http://www.fennpest.com,Consumer Services,"Buena Park, CA",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
25,8BASE,Petkus Brothers,"Petkus Brothers committed to provide you the quality products & installation of your entire home remodeling work in Northern California at an affordable price. Petkus Brothers is an outstanding company in the home improvement industry; we build custom sun rooms & patio covers and kitchen & bathroom renovations; our showroom has full size models on display of all our products and we guarantee the ""Best Price, Best Value Every Day.

https://www.petkusbrothers.com/",06-09-23,29334,http://www.petkusbrothers.com,Construction,"Rocklin, California",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
26,8BASE,PRIDE GLOBAL CONSULTING SL,"Why work with psdconsultores?
Because we will accompany you on your business journey with the firm commitment to give you support in all situations in which you require our help.
We hope that you can dedicate your effort exclusively to the management of your business. We take care of solving your problems.
We assign you a manager who will accompany you at all times.
If you need legal help, we will assign you the specialist you need.
We have been advising companies from all sectors for more than 20 years.
Our work is focused on eliminating the possible tax, labor and legal contingencies that you may encounter.
Our work will be transparent and we guarantee that you will comply with the current regulations at all times.
We give you online solutions to all your needs. If you want to come to our office we will welcome you gladly.
There is no commitment to stay with us.
  https://pdeconsultores.es/",06-09-23,29684,http://www.prideglobal.com,Human Resources Services,"New York, New York",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
27,8BASE,PT. Cahaya Benteng Mas,"PT Cahaya Benteng Mas was originally an individual business pioneered by Mr. Indra Iswaratioso in 1974. Starting with just marketing galvanized zinc products for AC ducting around Jakarta. Until 1981, a business entity was established under the name PT Cahaya Benteng Mas to further develop the business that has been carried out so far. But the products sold are still limited to galvanized zinc plate products.
Along with the rapid growth of the business run and see the opportunities that are still wide open, then in 1994 CBM began to enter the era of Manufacturing. At the beginning by buying a plot of land in the Cikarang industrial area and bringing in roofing machines and shearing machines in the same year. Thus began the era of manufacturing with its first product in the form of a roof and Wall waves named Cahayadek. At that time, product marketing was still around Jabodetabek.
From then on CBM products began to spread throughout Indonesia. Started in 1995, by opening a branch office in Bandung which then continued to grow until in 2010 CBM built an office, factory and warehouse in Bandung. Continued by building marketing distribution cooperation with partners throughout Indonesia which until now CBM products have been spread to all corners of Indonesia.
More than two decades already PT. Cahaya Benteng Mas (CBM) has been producing and supplying roof covering products with materials supplied by PT. NS BLUESCOPE INDONESIA.
We are ready to provide the best service in accordance with the needs of consumers, including : cut and roll services, bending Services, round and square wave services. The materials we use are the best materials according to ISO standards, so as to create superior products.
https://cahayabentengmas.co.id/",05-09-23,30200,http://www.cahayabentengmas.co.id,Wholesale Building Materials,"Jakarta Pusat, DKI Jakarta",Indonesia,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
28,8BASE,"Shanghai FRP Research Institute Co., Ltd.","Shanghai FRP Research Institute Co., Ltd. (SHFRP) is located at Fengxian District of Shanghai. It covers an area of about 120,000 square meters. As a Shanghai High-Tech Enterprise, SHFRP is a technological and industrial entity which integrates scientific research, development, manufacture, service and trade.
Founded in 1960, SHFRP specializes in research and development of performance, structure and processing technology of FRP/ composites and special inorganic nonmetallic materials. Up to now, SHFRP has undertaken hundreds of national R&D projects that deal with tackling key technological problems and developing new products, and already obtained more that one hundred significant technological achievements in FRP/composites fields. With a group of competent engineers and technicians, SHFRP. leads the development of new technologies and products in the domestic trade of FRP/composites and special inorganic nonmetallic materials. Furthermore, with modern plants, the whole set of production equipment and the most advanced testing facilities, SHFRP has high industrial capacity to provide various FRP/composites products with excellent quality to customers at home and abroad.

Relying on the solid technical strength of SHFRP, three technological service organizations are set up in the institute, including the Testing Station of FRP/Composites Industry of Shanghai Inspection Center of China, the National Laboratory approved by CNAS, the Mechanical Testing cooperated Laboratory with GL, the FRP Technological & Economic Information Network of Shanghai Economic Zone. They can offer testing, appraising and advisory services to FRP/Composites industries at home and abroad.

http://www.shfrp.com/",03-09-23,31383,http://www.shfrp.com,Research Services,"Shanghai, Shanghai",ä¸­å›½,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
29,8BASE,KLM Laboratories Pvt. Ltd,"At KLM labs, our commitment, quality and precision makes us one of the most successful pharmaceutical companies. We provide quality healthcare products. KLM laboratories set up its foot in the pharmaceutical industry in 2010 with a vision of providing quality healthcare services to the community. We emerged as the top prescribers of Itraconazole in India in 2013, and we soon ventured into the international markets in 2015, making a thunderous proclamation. In 2017, We expanded our firm and launched a Pediatric Dermatology division. Another milestone was achieved in 2019 when KLM established itself in the domestic market in the Ophthalmology and Orthopedic sector. With over a decade of experience, we are India's top pharmaceutical company in dealing with dermatology, eye care, and ortho care. KLM laboratories global presence is enriched by over 1000 professionals, 55000 doctors affiliations, over 800 stockists expanded in ten-plus countries. Our firm is dedicated to serving two pharmaceutical divisions- Derma and Cosmo sectors that have built a niche in the international markets. We formulate high-quality tested and approved topical and oral solutions, immunomodulators, corticosteroid, anti-bacterial and anti-fungal solutions, including baby care products like shampoo formulations and moisturizing lotions. Our laboratory also ventures into ophthalmology by providing clinically tested eye drops and tablets. In addition, we also create oral formulations to treat ailments related to the musculoskeletal system. We are recognized as an enterprise that provides consumers access to the best pharmaceutical solutions while following a proactive approach to delivering better offerings that reflect modern medical. Commitment, quality, and precision make us one of the most successful pharmaceutical companies. Our strong beliefs and hardcore values have helped us establish a 'corporate social responsibility. Under this globally recognized aspect, our firm wishes to help humankind with healthcare products that would serve them the purpose of better prognosis

http://klmlab.com/",02-09-23,31831,http://klmlab.com/,Pharmaceutical Manufacturing,"Mumbai, Maharashtra",India,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
30,8BASE,Varna Packaging,"We provide hassle-free flexible packaging solutions for brands that want to grow. Over the past 60 years we have grown into one of Sri Lanka's largest converters, supporting our clients in Making a Mark locally and globally. Excellent processes and extensive R&D ensures that our products are of the highest quality whilst our unparalleled client service allows us to meet customer demands repeatedly. Our manufacturing capabilities include: Printed paper bags Recyclable Packaging Bio-degradable Packaging Compostable Packaging Shrinkable labels Soap and Detergent Packaging Liquid Milk Packaging Polyethylene bags Three Side Sealed Pouches Center Sealed Pouches Pouches with Zipper Gusseted Pouches Printed Laminates PE Films and PE Standup Pouches For future-focused, small and medium, environmentally responsible, and cost-conscious businesses; Varna is the like-minded flexible packaging partner that is an Agile Innovator. Customers can benefit from turnkey customized, sustainable solutions because of Varna's trusted reputation with 60 years as a pioneer in the flexible packaging industry. FSSC 2200 certification that shows our commitment to sustainability and delivering above and beyond to our customers

https://www.varnapackaging.com/",02-09-23,31717,http://varnapackaging.com/,Packaging & Containers,"Ratmalana, Western Province",à·à·Šâ€à¶»à·“ à¶½à¶‚à¶šà·à·€ à®‡à®²à®™à¯à®•à¯ˆ,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
31,8BASE,SKYROOT,"A new space age is emerging and the extraordinary opportunities in space depend on the transportation systems from Earth to Space. At Skyroot, we are building technologies for responsive, reliable and economic access to space. We envision a future where spaceflight is as regular, reliable and affordable as airflight. National Award Winner!

https://skyroot.in/",02-09-23,31818,http://skyroot.in/,Space Research and Technology,"Hyderabad, Telangana",India,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
32,8BASE,Sydenham Laboratories,"Sydenham Laboratories, Inc. (SLI) is an ISO 9001:2008, HACCP Certified, PIC/s GMP compliant pharmaceutical company that develops and manufactures healthcare products. SLI manufactures oral drug preparations in dosage forms of tablet, capsule, syrup, and powder for suspension. Non-penicillin, penicillin and cephalexin-based products are manufactured in separate buildings with 'clean room hepa-filtered' exclusive air-handling systems to ensure zero-cross contamination. SLI also manufactures food supplements in the above dosage forms. SLI is founded in 1971 by Dr. Eduardo R. dela Cruz, MD, a cardiologist and a former president of Philippine Medical Association. SLI derived its name from one of the great British physicians, Dr. Thomas Sydenham, known as the English Hippocrates, the founder of clinical medicine, and an advocate of effective management of illness that emphasized detailed observation and maintained patient records

http://www.sydenhamlab.com/",01-09-23,32545,http://www.sydenhamlab.com,Pharmaceutical Manufacturing,"Dasmarinas City, Cavite",Philippines,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
33,8BASE,FA Foundry,"FA Foundry is the most reliable gray and nodular iron foundry on the international market. It offers comprehensive solutions that contribute to improving the competitiveness of its clients through the production, machining, coating application, and heat treatment of industrial cast iron parts, as well as engineering services for the design, manufacture, maintenance, and tooling repair. FA Foundry has state-of-the-art technology in high precision machinery and equipment, internationally-certified processes and practices. Reliability in delivery dates and proximity to the United States border make our clients have their castings in the shortest time in the market. The added value of these competitive advantages translates into significant savings for our clients. FA Foundry offers in-house machining services on castings through its sister company, Kanoff Machining. This competitive advantage reduces manufacturing times and eliminates the costs associated with transporting castings to machining centers. Headquarters Monterrey, Nuevo LeÃ³n Specialties We are a foundry specialized in gray and nodular iron casting

https://www.fafoundry.com/en/",01-09-23,32563,http://www.fafoundry.com/en/,Industrial Machinery Manufacturing,"McAllen, Texas",United States,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
34,8BASE,INSTITUTO NACIONAL DE ELECTRIFICACION,"We are a State, autonomous and decentralized entity, which enjoys functional autonomy, its own assets, legal personality and full capacity to acquire rights and contract obligations in matters of its competence.

The INDE was created on May 27, 1959, under Decree number 1,287 of the Congress of the Republic.

It is currently governed by its Organic Law, Decree 64- 94, and by the General Electricity Law, regulations that served as the basis for the separation of functions: Electric Power Generation Company -EGEE-, Electric Power Transmission and Control Company -ETCEE- Electric Power Commercialization Company -ECOE-, Corporate Entity and Electric Power Distribution Company of East and West. The latter were disestablished from the Institution in 1999.

https://www.inde.gob.gt/",01-09-23,32398,http://www.inde.com.gt,Renewable Energy Semiconductor Manufacturing,"Guatemala, Guatemala",Guatemala,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
35,8BASE,HFH Capital,"Small Business Financing
HFH Capital can advance your business by purchasing up to $5mm of its future sales, today! We'll pay your business up front, then collect a small percentage of future  sales as they occur until a predetermined amount is collected.
Sometimes referred to as a business  advance or merchant cash advance, an advance is an amount of money paid  to a business to purchase sales that would normally occur in the future.  A percentage of the future sales are collected by scheduling an ACH debit from your business checking account or directly from your credit  card processing transactions.

https://www.hfhcapital.com/",01-09-23,33215,https://www.hfhcapital.com/,Business Consulting and Services,"Philadelphia, Pennsylvania",United States,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
36,8BASE,Bahamas Medical and Surgical Supplies,"Bahamas Medical & Surgical Supplies Limited (BahamasMedical), incorporated in February 2000, is a supplier of medical and surgical products, equipment and services. We are the official authorized suppliers for all GE Healthcare products and equipment. We operate from our offices on 9 Fifth Terrace, Centerville.

https://bahamasmed.com/",31-08-23,33282,www.bahamasmed.com,Retail Health and Personal Care Products,Nassau,The Bahamas,1,1,0,0,1,0,0,0,1,0,0,0,0,,,,
37,8BASE,The Law Offices of Steven H. Heisler,"Baltimore personal injury lawyer Steve Heisler will aggressively fight for all you deserve. Find out why clients prefer to work with Steve. Free consults. The Law Offices of Steven H. Heisler focus on injury cases, including Worker's Compensation, Social Security Disability, Auto Accidents, Personal Injuries, Product Liability, and more. The law office is located in Baltimore and in the state of Maryland, Steve and the Injury Legal Team represent injury victims in all counties


https://www.theinjurylawyermd.com/",31-08-23,33220,http://www.theinjurylawyermd.com,Law Practice,"1011 N Calvert St, Baltimore, MD 21202, United States",United States,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
38,8BASE,Kevills Solicitors,"We take pride in offering a friendly, personal advice service based on firm values and an ethical approach, while keeping our finger on the pulse in our dedicated areas of specialism. A partner-led firm, we are personally involved in every step of each individual case, representing families, businesses and individuals alike.
With much of our work arising from personal recommendation, we can clearly demonstrate the provision of a value for money service, and maintain a high profile within the Chorley community and beyond.

http://www.kevills.co.uk/",31-08-23,33907,http://www.kevills.co.uk,Law Practice,"Chorley, Lancashire",United Kingdom,1,1,0,1,0,1,0,0,1,0,0,0,0,,,,
39,8BASE,Mil-Ken Travel,"Taking you beyond expectation Mil-Ken Travel are a Coach Hire and executive travel specialist based near Ely, Cambridgeshire. We are family run company with over 50 years of industry experience traveling throughout the UK and Europe serving customers with an exceptional level of professional service.

https://milkentravel.com/",31-08-23,32977,http://milkentravel.com,Truck Transportation,"Littleport, England",United Kingdom,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
40,8BASE,Royal Oak Pet Clinic,"Providing Medical and Surgical care for Dogs, Cats, Chinchillas, Degus, Ferrets, Gerbils, Guinea Pigs, Hamsters, Hedgehogs, Mice, Rabbits and Rats, Visit our New Patients Center or take the Virtual Tour Page. A+ Rated Business â€“ Better Business Bureau. Reviews on Google and Facebook. Stop by, or call us if you have any questions. Our Veterinarians and experienced staff are here to help. The Royal Oak Pet Clinic is a small animal pet clinic in Victoria BC focusing on the health of dogs, cats, rabbits, ferrets, and pocket pets. Clinic veterinarians provide medical and surgical care for all of your four legged pets. Our goal is to keep the pet members of your family healthy and happy while providing exceptional service to clients. Commitment to excellence and the exemplary care that veterinarians Dr. Chambers, Dr. Harasym and the staff offer, is practiced each day on every pet they examine.

https://www.royaloakpetclinic.com/",31-08-23,32994,http://www.royaloakpetclinic.com,Veterinary,"Victoria, British Columbia",Canada,1,1,0,1,0,0,0,0,1,0,0,0,0,,,,
41,8BASE,Hoosick Falls Central School District,"For the 2023 school year, there are 2 public schools serving 1,055 students in Hoosick Falls Central School District. This district's average testing ranking is 9/10, which is in the top 20% of public schools in New York.
Public Schools in Hoosick Falls Central School District have an average math proficiency score of 77% (versus the New York public school average of 56%), and reading proficiency score of 76% (versus the 63% statewide average).

https://www.hoosickfallscsd.org/",31-08-23,32982,http://hoosickfallscsd.org,Primary and Secondary Education,New York,United States,1,1,0,1,0,0,0,0,1,0,0,1,0,,,,
42,8BASE,ToyotaLift Northeast,"Offering forklifts, aerial work platforms, lift trucks, & material handling equipment by Toyota industrial equipment, Raymond, Skyjack, Genie, JLG, Clark. ToyotaLift Northeast is the best place to find high-quality new and used lift trucks. We are a full service material handling equipment dealership at all seven of our locations (PA, NJ, DE, MD and NY) offering forklift sales, service, parts, rental, OSHA forklift training and safety education. Our goal is to provide services that matches the high quality standards of the Toyota forklift products; services that will be unmatched in the greater Philadelphia, New Jersey, New York, Delaware and Maryland areas

www.toyotaliftne.com",23-08-23,39581,http://www.toyotaliftne.com,Machinery Manufacturing,"Phoenixville, Pennsylvania",United States,1,1,0,1,0,1,0,0,0,0,0,0,0,,,,1
