,Company,Company Description,Date Victimised,,Number of Clicks,Status,pageurl
447,wcinet.com,Last chance,10/14/2023 14:08,"03 APR, 2023 09:50 UTC",19253,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/5nY3EV2sAa9PXHvn642aa1636af57
448,p-and-r.com,"P&R Enterprises, Inc. was founded in 1968 and is headquartered just outside Washington, D.C. in Falls Church, Virginia. P&R is a Mid-Atlantic based building services contractor. In addition, P&R continues to be a pioneer in the implementation of Gree...",10/14/2023 13:40,"01 APR, 2023 19:48 UTC",19971,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ea0RCSrrvDljJsKZ64288a948d286
449,ativy.com,"We build the companies of the future We have started our history as a cloud-based service provider, but soon we figured out that the sky is the limit. At Ativy, we work towards creating a more productive, efficient, and above all, more human tomorr...",10/14/2023 14:11,"31 MAR, 2023 23:24 UTC",26368,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/AUcv72lIhhEwn7jl64276bbe90b6a
450,hacla.org,The Housing Authority of the City of Los Angeles (HACLA) [part2],10/14/2023 14:23,"31 MAR, 2023 03:08 UTC",21033,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/EW7NAmuncBddr1R064264eaddd350
451,groupe-seche.com,"Séché Environnement SA engages in the recovery and treatment of waste products for industrial and corporate customers, and local authorities in France and internationally. more than 300 gigabytes of documents, including personal data.",10/14/2023 13:46,"30 MAR, 2023 20:26 UTC",20760,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/SCU4G5Y2CJ6NQGwD6425f063db264
452,theus-industries.fr,"THEUS INDUSTRIES, est le prolongement d’un atelier de chaudronnerie créé en 1892. Elle est l’héritière de plus de cent années d’expérience dans le travail de l’acier. Tous les produits FOCUS CREATION sont fabriqués ici, à Cavaillon, au cœur du parc n...",10/14/2023 13:55,"30 MAR, 2023 14:21 UTC",24449,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/7vM82dXdk6O7NSxJ64259aed973fc
453,tharworx.com,"in three days we will lay out 3 GB, if representatives of tharworx.com company do not contact us, we will lay out another 20 GB",10/14/2023 13:01,"30 MAR, 2023 06:14 UTC",20651,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/gjZovjwoRd45667u642528e274d23
454,bianchiindustry.com,UPDATE!!! ALL FILES ARE PUBLISHED!!! CHECK LINKS!!! https://dnsportals.su/WxZwfZSPV8pENMoEkBGhziD/Bv_After_Sales.zip https://dnsportals.su/WxZwfZSPV8pENMoEkBGhziD/Centralino.zip https://dnsportals.su/WxZwfZSPV8pENMoEkBGhziD/DOC_LAB.zip https://...,10/14/2023 12:57,"29 MAR, 2023 16:12 UTC",28496,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/QzjrMmKUg3igCAmk642463536e3e6
455,nts.go.kr,,10/14/2023 14:26,"29 MAR, 2023 11:07 UTC",158081,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/q2cm7WklfLh4lZ1a64241bfc794f3
456,nts.go.kr,National Tax Service,10/14/2023 13:40,"29 MAR, 2023 10:57 UTC",16304,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/j28p3rrUGSHa53Tz642419a47b97d
457,piramal.com,"The Piramal Group is an Indian multinational conglomerate that has presence across various sectors such as healthcare, life sciences, drug discovery, financial services, alternative investment and real estate",10/14/2023 13:38,"27 MAR, 2023 22:23 UTC",21896,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/eCUbLyrjKeAf8ZMr642217501ac26
458,errebielle.it,Errebielle S.r.l. is an Italian company specializing in the production of doors and furniture accessories. Data leak contains 34 GB,10/14/2023 13:35,"27 MAR, 2023 17:26 UTC",18225,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/fWlhRcNn4A0C2fHG6421d1c5bb2ad
459,lqtbg.com.cn,,10/14/2023 13:14,"27 MAR, 2023 13:51 UTC",21018,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/CFDf0Q421YD9wP9S64219f5c3ba73
460,ulmacarretillas.com,"With almost 40 years of experience, at ULMA Servicios de Manutención we offer the appropriate comprehensive logistics solution for all kinds of storage needs from different clients and sectors. Our in-depth knowledge of the handling and distribution...",10/14/2023 14:06,"27 MAR, 2023 08:47 UTC",24308,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/AzqJczGFpGRVEY076421581ed5936
461,medellin.gov.co,"Medellín has become a benchmark in Colombia and the world. Its commercial, industrial, cultural, religious, social and sports activities have brought development and a friendly and promising lifestyle. Its history dates back to the 17th century, when...",10/14/2023 14:17,"27 MAR, 2023 08:45 UTC",24837,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/j2bxPfzvRWIQ1s6M642157b518609
462,alliedtools.com,"lhdottie.com infantino.com americandawninc.com Allied International was founded in 1962 as an import distributor of hardware products. Over the years, with our unwavering commitment to innovation, quality, value and service, we have earned the r...",10/14/2023 14:03,"27 MAR, 2023 08:41 UTC",20619,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/YGrBnzwlqbsO6gXs642156af4d7e8
463,sakrgroup.net,"Sakr Group is a leading food and beverage supplier in the Middle East, with seven major factories and distribution partnerships that span the MENA region and the whole world. Our brands are loved by millions of consumers and retailers across the glob...",10/14/2023 13:48,"27 MAR, 2023 08:38 UTC",25673,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/nyYj7Kh3RWyFOgkG64215617330e8
464,wcso.us,"Washington County Sheriff’s Office official mobile app.We are committed to not only protecting, but also serving the citizens of Washington County with professionalism, integrity, and transparency. A part of that commitment is to provide you with the...",10/14/2023 13:40,"27 MAR, 2023 08:37 UTC",27449,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/G7LHzCtCszjw6KYt642155b1188ba
465,bocca-sacs.com,"Discover the food packaging specialist. Bocca-Sacs offers you paper bags, trays, labeling material and all the necessary food packaging.",10/14/2023 13:40,"27 MAR, 2023 08:34 UTC",23479,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ydKfAczxs9m4HW4T6421551e0d4b3
466,nougat-carlier.be,"For more than half a century, Carlier, a family business, has been making nougat by using the highest quality ingredients, in a wide variety of flavours. It all began in 1949: following the example of his father, a retail confectioner, Rodolphe Carli...",10/14/2023 13:30,"27 MAR, 2023 08:32 UTC",19735,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/RFFgcfl27pLCqy1P64215483be443
467,mangalagroup.com,"Mangala Group, is India’s one of the leading enterprises with businesses in the seafood industry. Mangala group was established by Mr. MV Ramachandra Bhat in 1967. Today, the group has grown to be one of most well-known names in the industry producin...",10/14/2023 12:57,"27 MAR, 2023 08:28 UTC",19781,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/jYZHrowfFMIcxb59642153c055f18
468,nonson.com.vn,Non Son Fashion is the number one leading fashion for Vietnamese. Non Son is always dedicated to his work and also tries his best to offer customers the best products.,10/14/2023 14:28,"27 MAR, 2023 08:27 UTC",23704,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/SmZQAL4MU7polQXR64215357e58e3
469,ita-moulding-process.com,"ITA MOULDING PROCESS, specialist in wood and foam molding, offers you a complete and diversified offer. Whatever your sector of activity, ITA MOULDING PROCESS adapts to your needs by making you benefit from its expertise.",10/14/2023 13:41,"26 MAR, 2023 19:56 UTC",19653,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/rFnDsL9cUnc80nLD6420a37a06afb
470,giga.com.vc,"Founded in 2009, GIGA Atacado is a wholesale network with 11 stores and a Distribution Center in the state of São Paulo, present in the capital and the cities of Barueri, Carapicuíba, Cotia, Jundiaí, Guarulhos, Osasco and Várzea Paulista. It has abou...",10/14/2023 13:03,"25 MAR, 2023 21:09 UTC",20926,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/9G2i98Yk7KwZocng641f63051ad50
471,demechindia.com,"Deccan Mechanical and Chemical Industries Private Limited (DEMECH) is an ISO 9001:2015 certified company that was established in 1969 by the late Mr. K R Natu. Today, we have a trans-continental presence, serving clients both in India and overseas. O...",10/14/2023 13:53,"25 MAR, 2023 02:51 UTC",20830,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Vza0JJXS0fNkAtD0641e61cfb9328
472,precisionit.co.in,"Established in 1996, Precision provides Biometric, IoT, Cloud & Systems Integration solutions and IT Infrastructure Management Services. Precision adopts a consulting approach to address the needs of clients and has a very strong R&D and IP creation...",10/14/2023 13:56,"25 MAR, 2023 02:38 UTC",20898,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/DV1ZdwT4RzqRQAoB641e5ea0be01e
473,securens.in,"Securens has provided leading brands with various security surveillance system, safety and in-camera audit services including Alarm monitoring Services, Perimeter Intrusion detection system, in-camera virtual guard patrol, instantly detecting PPE non...",10/14/2023 13:05,"24 MAR, 2023 13:33 UTC",20900,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/qJB0Z0HXc3FT7krN641da6c22a2fc
474,bianchiindustry.com,"We are pleased to introduce you two company www.bianchivending.com and www.bianchiindustry.com. They say these are group. Quick overview. Since it was founded in 1959, Bianchi Industry’s industrial strategy has always focused on the future. Und...",10/14/2023 14:16,"24 MAR, 2023 10:31 UTC",18395,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/G60AOOUB695Eym1D641d7c164098f
475,tecnosysitalia.eu,"Tecnosys Italia S.r.l. is a company operating throughout the national territory for over 30 years, in the creation of highly specialized software in the sectors of Real Estate Management, ERP Systems, Document Repository, Process Reengineering (BPR),...",10/14/2023 13:41,"22 MAR, 2023 21:05 UTC",19410,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/feFqnDuw5uSq3g4K641b6db0336c6
476,kaycan.com,"Home is where we hang our hat at the end of the day and put up our feet up after a long day’s work. It’s no wonder why we take pride in where we live and want our home to reflect our personal style. Kaycan products offer unparalleled performance, mul...",10/14/2023 14:04,"14 MAR, 2023 21:27 UTC",24391,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/H9DjXco2JkAGeNgt6410e6b7f30b3
477,cabinet-paillet.fr,accountants. people trusted their personal data and no one monitored security,10/14/2023 14:11,"21 MAR, 2023 20:42 UTC",26419,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/LvJjmY5kSAmUnPf2641a169f84415
478,stolt-nielsen.com,"We are the world’s largest operator of sophisticated chemical tankers, a global provider of safe storage services for bulk liquids, and the leading provider of door-to-door transportation services for bulk-liquid chemicals and food-grade products. We...",10/14/2023 12:57,"21 MAR, 2023 10:48 UTC",21484,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/G8kCQC8AImW1DiP264198b98dc81b
479,the3rivers.net,The Three Rivers Learning Trust was established in 2011 and consists of eight Schools. These schools have a long and proud history of providing an excellent education service to the local population.,10/14/2023 13:55,"21 MAR, 2023 10:46 UTC",21062,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/oPhnAL2yBl3o95S064198b0ee3b11
480,bakermech.com,"Baker Mechanical Inc. is a family-oriented company that prides itself on ensuring unsurpassed customer satisfaction.Centrally located in eastern North Carolina, BMI can handle any size mechanical project in the region. BMI is dedicated to preserving...",10/14/2023 13:42,"21 MAR, 2023 10:45 UTC",20824,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/T8qMtQ1XGr8P47AS64198aced6881
481,roslevauto.dk,"Roslev Auto, Auto- & Traktorservice, is a reputable company that has sold, repaired and serviced cars and tractors in Roslev and the surrounding area since 1971. Behind Roslev Auto stands Kjeld Pedersen, who has been the owner and manager of the wor...",10/14/2023 13:54,"21 MAR, 2023 10:37 UTC",24451,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/hvT2HeKDXAneA1jU641988dab8739
482,cityofallenpark.org,first part of data,10/14/2023 13:24,"21 MAR, 2023 10:34 UTC",20320,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/zyvYI0Vcezmnxk6R6419883e5018c
483,stavinvest.cz,"We are a building supply store that specializes in roofing materials and services. Our products include roofing, insulation, gutters, and battens. Therefore, pretty much anything roof-related. STAV-INVEST was founded in 1992. We have come a lon...",10/14/2023 13:43,"19 MAR, 2023 14:44 UTC",21392,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/eZcEa4aytlUogAp064171fc21a631
484,id-logistics.com,"After the launch in France of logistics services for mass distribution, our Group begins its international deployment with a first subsidiary in Taiwan in early 2002. This would be followed by the opening of a new country every year…",10/14/2023 13:43,"19 MAR, 2023 14:37 UTC",21822,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/8n7guEFZLbHgx86w64171e28f3839
485,hitzler-ingenieure.de,The world is changing - and we with it. The German construction industry is facing the greatest upheaval in its history. The megatrends of digitization and sustainability will fundamentally change the industry. And require continuously growing know-...,10/14/2023 12:59,"19 MAR, 2023 14:27 UTC",21328,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/KNd9zXxSCNxM4efn64171bcc83549
486,bbsautomation.com,"BBS Provides Innovative Advanced Engineering Worldwide BBS is committed to providing engineering solutions which are not only financially feasible and structurally sound, but help improve safety, reliability and profitability. At BBS, assembly auto...",10/14/2023 13:30,"19 MAR, 2023 14:07 UTC",21738,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/IRZ2rPfg4FQQxKs66417170823b92
487,spoormaker.co.za,"SPOORMAKER AND PARTNERS INC | REGISTRATION (CIPC NO): 1981/008290/21. Consultations on mechanics, electrics, fire fighting and sanitation. Designing. There are more than 350Gb of confidential data",10/14/2023 13:22,"19 MAR, 2023 05:02 UTC",21053,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/q0BiHOfVcf9ywoLI6416976059363
488,r-pac.com,korea,10/14/2023 12:54,"17 MAR, 2023 12:15 UTC",24882,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/4JhQxjkhoWILpdt5641459de08594
489,gruppobeltrame.com,"Active in the iron and steel sector since 1896, AFV Gruppo Beltrame is synonymous with excellence and innovation in the production of merchant bars and special profiles for multiple applications: construction, shipyards and excavators. We have a lot...",10/14/2023 14:21,"14 FEB, 2023 23:04 UTC",56642,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/4m0XKG8GbVY6Saj163ec138f01d34
490,sabena-engineering.com,"Sabena Engineering is your reference for Maintenance, Repair, Overhaul & Upgrades. We support airlines and air forces around the globe. With our experienced engineers, technicians and mechanics, your fleet is in safe hands. We will attach proofs of...",10/14/2023 12:58,"13 MAR, 2023 21:55 UTC",44697,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/KOyHrDxFIwMzTdib640f9be8b7ae3
491,essendant.com,"Essendant, formerly known as United Stationers, is a national wholesale distributor of office supplies, with consolidated net sales of $5.3 billion. Essendant stocks over 160,000 items including traditional office products, office furniture, janitori...",10/14/2023 13:48,"14 MAR, 2023 21:57 UTC",22976,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/SWbgobA8OMFDDz4B6410edb943796
492,ktcs.com.my,"Kilang Tin Can (Sel) Sdn Bhd (雪蘭莪製罐廠有限公司), incorporated in 1976, is a metal can manufacturing company located at Jalan Haji Sirat, Klang, Selangor.",10/14/2023 13:46,"16 MAR, 2023 17:36 UTC",21284,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/GWva9bFBCeAIQJOK641353b175eee
493,boothtransport.com,"Booth is one of Australia's most respected national freight and logistics service providers. Our national fleet of transport equipment, warehousing facilities and professional staff are supported by industry specific operational systems. This deliver...",10/14/2023 12:59,"16 MAR, 2023 17:29 UTC",20852,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/rVE2UZPIvnKA35Jp641351ff36109
494,radium.com.tw,"Radium Life Technology Co., Ltd. is developing real estate projects in Taiwan. It develops and operates the T9 BOT project, which consists of a bus terminal, four residential buildings, two office towers, a shopping mall, a hotel, and a movie theater",10/14/2023 14:02,"16 MAR, 2023 09:42 UTC",24250,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/J7m7fXclMBM0Jf476412e4a19fdb9
495,buehnen.de,"Wenn wir Ihr Ziel kennen, stellen wir die richtigen Fragen und liefern das optimale Ergebnis für eine sichere und optimale Klebung Ihrer Komponenten. Für uns stehen nicht unsere Produkte im Fokus, sondern das belastbar beste Ergebnis für unsere Kunde...",10/14/2023 13:11,"16 MAR, 2023 09:21 UTC",21143,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/XcW1yPJ3Vbd5bXCw6412dfb564f93
496,meatel.com,"Established in 1977, Meatel is a leading innovative Telecommunication, ICT and security provider and Integrator for the Public and the Private Sectors, including fixed and mobile operators. We offer a suite of services and solutions from design, supp...",10/14/2023 13:43,"16 MAR, 2023 09:18 UTC",20693,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/kylVIz6qhJT9plrI6412ded8bd52c
497,mandirisekuritas.co.id,Mandiri Sekuritas merupakan mitra investasi tepercaya yang menyediakan solusi pasar modal komprehensif dengan beragam produk dan layanan unggulan,10/14/2023 12:57,"16 MAR, 2023 09:05 UTC",130299,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Y7n3Q3WiUL3XGZiu6412dbc2d7dfe
498,waldogeneral.com,"Waldo General, Inc. is a management company specializing in the management of Associated Business Units; most of which operate in the financial services industry. Waldo General, Inc.'s portfolio of businesses that it manages include storefront consum...",10/14/2023 13:18,"16 MAR, 2023 09:03 UTC",21021,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/bzYhDupYWarBJP5O6412db6c2c8d0
499,perfectplacement.co.uk,recruitment agency,10/14/2023 14:21,"16 MAR, 2023 09:00 UTC",20059,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ienBAuYW1NPTpP8E6412dacadfb12
500,regaltax.us,"Regal Tax Advisory Group has been in business for more than 14 years. We are proud to say that we have delivered satisfaction and excellence, not just in Doral, FL and Miramar, FL, but also throughout the United States. The services we provide are al...",10/14/2023 14:18,"16 MAR, 2023 06:58 UTC",20777,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Su5htxUOXCM5thy36412be0a9c15e
501,emotorsdirect.ca,"Shop the largest selection of industrial motors, controls, and gear reducers in Canada. We deliver to every postal code in Canada. We specialize in getting you the best product for the job - as fast as possible. You need the right motor, and you...",10/14/2023 14:08,"14 MAR, 2023 18:41 UTC",18655,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/aXDjcRK3o73nsUL16410bfed5157b
502,fiege.com,"259gb stolen data Integrated solutions including logistics, digital services, real estate and venture business. We are innovation leaders in logistics. With our modular concepts in logistics, digital services, real estate and enterprises, we opti...",10/14/2023 13:40,"14 MAR, 2023 16:08 UTC",25348,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/JdDUSLl4jjXCNXTm64109c13bb80c
503,maximumind.com,I would say we were lucky if SPACE-X contractors were more talkative. But I think this material will find its buyer as soon as possible. Elon Musk we will help you sell your drawings to other manufacturers - build the ship faster and fly away....,10/14/2023 13:38,"13 MAR, 2023 19:26 UTC",22984,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Swm4JaxA6VSjkyZf640f78df082dd
504,plasticproductsco.com,"Last chance Founded in 1962, Plastic Products is a company that specializes in providing plastic, metal, and ceramic injection molding services.",10/14/2023 12:52,"13 MAR, 2023 17:21 UTC",22919,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/lNnvlD8Cg2jQbYGA640f5ba593ed3
505,jaureguy.com.ar,"Jaureguy S.A.C. I. y A. is a company with more than 20 years of experience making and selling soda in disposable siphons. Jaureguy has their own fleet for the logistics of their products and a Distribution Center located in San Justo, La Matanza, Bu...",10/14/2023 14:15,"12 MAR, 2023 17:00 UTC",19156,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Ko509XNoKz3mublE640e05284a54f
506,schradercamargo.com,"Founded in 1963, Schrader Camargo is an engineering, procurement, and construction company. Other services Schrader Camargo offers include civil works, electromechanical assemblies, and operation and maintenance in the hydrocarbons",10/14/2023 13:56,"11 MAR, 2023 12:10 UTC",26734,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Cm5HDUZhL6eDCEtw640c6fb655df9
507,grupohospitalarvidas.com.br,Hospital e Maternidade Vidas is a company that operates in the Hospital & Health Care industry.,10/14/2023 13:03,"11 MAR, 2023 12:07 UTC",26793,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/wpiJZy11ktZOuS56640c6ef27b4f4
508,bonta-viva.it,Bonta Viva's authentic Italian cow milk cheese made from mozzarella and cream,10/14/2023 12:56,"11 MAR, 2023 10:55 UTC",23078,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/XkSKzmVkJjrQZsNs640c5e14d068d
509,wyckoffcomfort.com,Wyckoff Heating & Cooling is always growing.,10/14/2023 14:20,"11 MAR, 2023 10:44 UTC",22806,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/pJTxHcZFIMGLF3M9640c5b82034b4
510,greggardnergm.com,"Shopping for a new or pre-owned GM vehicle? Shop for GMC, Buick, and Chevrolet models at Greg Gardner Motors, located in Squamish, BC.",10/14/2023 13:49,"11 MAR, 2023 10:40 UTC",22396,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/IAzA0RQYhkduOFLc640c5a9992ce9
511,lubrimetal.com,Lubrimetal is a chemical company specializing in the production of lubricants and other chemicals for wire drawing and metal surface treatment.,10/14/2023 14:06,"11 MAR, 2023 10:36 UTC",22201,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Hvj7uNcPuiExWyHO640c59b0e8e22
512,meinet.com,"ManagementExcellence, Inc. (MEI) has a solid track record in providing management services to membership organizations, bringing a unique set of skills and expertise to the table. We work in conjunction with several strategic partners who have specif...",10/14/2023 13:00,"11 MAR, 2023 10:31 UTC",22072,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/JyWenzHgpr935cpq640c586be5647
513,brandywine-homes.com,"Brandywine Homes is the builder of choice throughout Southern California, creating extraordinary homes built to last today and for generations to come.",10/14/2023 13:04,"11 MAR, 2023 10:24 UTC",22866,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/bmH2G6iZBfxUmaa9640c56ce1cc4d
514,cqservice.sk,"Spoločnosť CQ service, spol. s r.o. pôsobí na trhu informačných technológií už od roku 1992. Po úvodných rokoch dodávok výpočtovej techniky sa začala orientovať aj na poskytovanie služieb spojených s výpočtovou technikou.",10/14/2023 14:23,"11 MAR, 2023 10:22 UTC",22080,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/jyG1ka4vBMH336iA640c5673d15f7
515,inphenix.com,"Inphenix designs and manufactures lasers and light sources that are critical in state of the art applications in the medical, telecom, sensing and measurement industries.",10/14/2023 12:57,"11 MAR, 2023 10:18 UTC",21363,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/kTFJt0oQUNSxChuy640c556f85e42
516,omegaservicos.com.br,The Omega Group develops customized solutions for your business,10/14/2023 13:55,"11 MAR, 2023 10:15 UTC",24381,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/2KBwNDWt82eRusYs640c54b39b1c8
517,cktc.edu,"CKTC was one of the first technology centers in the state. Contractors completed construction on building 100 in September 1968, and Caddo Kiowa Technology Center opened its doors to the public for the first time that year. CKTC offered 11 programs t...",10/14/2023 14:02,"11 MAR, 2023 10:11 UTC",12843,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/FutMTTZ0DYwPMAdS640c53ce94a89
518,favoritefoods.com,"The Mission of Favorite Foods is to provide quality products, superior service and innovative solutions to a select group of customers, and to make a significant contribution to their success. We strive to create mutually profitable long term relatio...",10/14/2023 14:02,"11 MAR, 2023 09:26 UTC",21232,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/wjAzpqBtglEje5QV640c496100cf0
519,eprinsa.es,"Eprinsa is a public company created by the Diputación de Córdoba with the aim of providing comprehensive computer assistance, staff training and cartographic production.",10/14/2023 13:56,"10 MAR, 2023 19:56 UTC",21670,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/zWTaMgUyYVzC1PTY640b8b624bd03
520,micos.com,"Micos Engineering GmbH is an independent advanced engineering company that focuses on optical instrumentation for the European space market. As industrial partner it delivers (pre-) design, engineering, AIT (assembly, integration and testing) and ser...",10/14/2023 13:44,"10 MAR, 2023 12:34 UTC",25158,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/wGmlgzeZWbb7Mx5F640b23e1040cc
